Model,Num Classes,Micro F1,Macro F1,Weighted F1,Precision (Micro),Recall (Micro)
MODEL 1: Chapter (18 classes),18,0.37272727272727274,0.23317487576414742,0.4452271452945026,0.2645161290322581,0.6307692307692307
MODEL 2: Top-5 Categories (~40 classes),62,0.05542725173210162,0.03841678035226422,0.2908918566813304,0.030379746835443037,0.3157894736842105
MODEL 4: Filtered Full Codes (~80 classes),52,0.02336769759450172,0.04421547406841524,0.21194455678884747,0.012108262108262107,0.3333333333333333
